Time,"Ax, g","Ay, g","Az, g","Wx, dps","Wy, dps","Wz, dps","T, C","Ax2, g","Ay2, g","Az2, g","Wx2, dps","Wy2, dps","Wz2, dps","T2, C"
15:02:33,1.94E-05,0.00022229,-0.00019599,0.02610709,0.01510581,-0.01893996,33.66949844,0.00017086,-6.55E-05,-0.00019456,-0.04289772,-0.00354356,0.01762448,34.50126266
15:02:34,9.93E-06,0.00021882,-0.00017872,0.02614526,0.01558453,-0.02033175,33.66778945,0.00023938,3.63E-05,-0.00013286,-0.04269244,-0.00366111,0.01743483,34.4948616
15:02:35,1.70E-05,0.0002255,-0.00017741,0.02714933,0.01561229,-0.01965825,33.67631149,0.00027636,0.00021637,-0.00012705,-0.04355721,-0.00395007,0.01748317,34.51287078
15:02:36,-2.14E-05,0.00024052,-0.00019654,0.025933,0.01491235,-0.01960663,33.68463516,0.00034913,0.00020919,-8.55E-05,-0.04354738,-0.00331917,0.0183017,34.52038574
15:02:37,1.01E-05,0.0002522,-0.00023692,0.02701202,0.01534271,-0.02020801,33.70661926,0.00033647,0.00017647,-9.82E-05,-0.04404856,-0.00389722,0.01786531,34.53276443
15:02:38,-1.14E-05,0.00021331,-0.0001424,0.02650493,0.01619177,-0.01978349,33.71647644,0.00032767,0.00023262,-0.00010894,-0.04381271,-0.00400931,0.0178889,34.53596878
15:02:39,3.11E-06,0.00020608,-0.00017077,0.02713584,0.01639816,-0.01982476,33.72683715,0.00032907,0.00022793,-0.00010127,-0.04338819,-0.00426863,0.01809527,34.52838516
15:02:40,-5.37E-05,0.00024809,-0.00018913,0.02710047,0.0157554,-0.02076231,33.71925354,0.00032628,0.00019316,-9.86E-05,-0.0438422,-0.00387943,0.01782408,34.54969787
15:02:41,1.81E-05,0.0002226,-0.00018371,0.02753089,0.01626836,-0.02054404,33.73205947,0.00029627,0.00019513,-0.0001023,-0.04370069,-0.00315443,0.01851978,34.56140518
15:02:42,-4.80E-06,0.00029881,-0.00022783,0.02706917,0.01641291,-0.02011563,33.76282119,0.00033657,0.00020553,-8.87E-05,-0.04572798,-0.00444648,0.01768174,34.56882476
15:02:43,2.17E-05,0.00023198,-0.00023073,0.02692558,0.01646,-0.02087123,33.76749801,0.00030041,0.00021021,-0.00010937,-0.04179661,-0.00364962,0.01755384,34.5691452
15:02:44,3.38E-05,0.00024685,-0.0002154,0.02732452,0.01564351,-0.02043797,33.77687072,0.00029052,0.00024002,-9.88E-05,-0.04575847,-0.00349621,0.01789477,34.57867431
15:02:45,3.64E-05,0.00022316,-0.00019641,0.02822641,0.01618837,-0.01977898,33.7861824,0.00029508,0.000242,-0.00011487,-0.04252792,-0.00413923,0.0167961,34.59269714
15:02:46,-1.60E-05,0.00023814,-0.00023906,0.02732452,0.01663974,-0.02104527,33.79439163,0.00034601,0.00020015,-7.93E-05,-0.04357686,-0.00403282,0.01803637,34.58869552
15:02:47,-2.59E-05,0.00018628,-0.00020284,0.02769503,0.01597594,-0.02040495,33.79891967,0.00031698,0.00020207,-0.00012,-0.04371466,-0.00401546,0.01803596,34.60712051
15:02:48,-3.11E-05,0.00020846,-0.00013801,0.02697663,0.01638643,-0.02115733,33.82302856,0.00032759,0.00016924,-0.00010726,-0.04427261,-0.00377932,0.0181248,34.60950088
15:02:49,1.98E-05,0.00026938,-0.00021604,0.02808426,0.01653999,-0.02075614,33.83893585,0.00035208,0.00019485,-9.36E-05,-0.04500569,-0.00399792,0.01774589,34.62331008
15:02:50,-2.20E-05,0.00024126,-0.00020474,0.02681369,0.01592428,-0.02040021,33.84152221,0.00030575,0.00018008,-0.00010642,-0.04365731,-0.00416772,0.01748907,34.62895202
15:02:51,2.60E-05,0.00024152,-0.00023934,0.02696881,0.01600544,-0.02021008,33.84994888,0.00032727,0.00020915,-0.00011209,-0.04329546,-0.0044699,0.01762852,34.63183212
15:02:52,3.48E-05,0.00028097,-0.00024646,0.02942361,0.01566106,-0.02024926,33.8434143,0.00029084,0.0001754,-0.00013423,-0.04239763,-0.00422135,0.01833116,34.64479446
15:02:53,6.23E-06,0.00024636,-0.00024816,0.02824435,0.01646888,-0.0207623,33.86244964,0.00032126,0.00019571,-0.00011352,-0.04381861,-0.00412704,0.01723445,34.66854858
15:02:54,-3.16E-06,0.00026037,-0.00025479,0.02760056,0.01623569,-0.02071791,33.8652153,0.00035015,0.00023821,-0.00011274,-0.0442047,-0.00428122,0.01759902,34.69129562
15:02:55,5.22E-05,0.00024481,-0.00021006,0.02779539,0.01643065,-0.02125518,33.88891601,0.000376,0.00019656,-8.67E-05,-0.04411024,-0.00369653,0.01791204,34.68868255
